[Thu Jan 03 17:59:52 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000020, referer: http://lab3.own/
[Thu Jan 03 17:59:52 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000021, referer: http://lab3.own/
[Thu Jan 03 17:59:58 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000021, referer: http://lab3.own/
[Thu Jan 03 17:59:58 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000022, referer: http://lab3.own/
[Thu Jan 03 18:00:04 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000022, referer: http://lab3.own/
[Thu Jan 03 18:00:04 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000018, referer: http://lab3.own/
[Thu Jan 03 18:00:10 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000018, referer: http://lab3.own/
[Thu Jan 03 18:00:10 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000019, referer: http://lab3.own/
[Thu Jan 03 18:00:16 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000019, referer: http://lab3.own/
[Thu Jan 03 18:00:16 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000020, referer: http://lab3.own/
[Thu Jan 03 18:00:22 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000020, referer: http://lab3.own/
[Thu Jan 03 18:00:22 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000021, referer: http://lab3.own/
[Thu Jan 03 18:00:28 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000021, referer: http://lab3.own/
[Thu Jan 03 18:00:28 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000022, referer: http://lab3.own/
[Thu Jan 03 18:00:34 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000022, referer: http://lab3.own/
[Thu Jan 03 18:00:34 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000018, referer: http://lab3.own/
[Thu Jan 03 18:00:40 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000018, referer: http://lab3.own/
[Thu Jan 03 18:00:40 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000019, referer: http://lab3.own/
[Thu Jan 03 18:00:46 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000020, referer: http://lab3.own/
[Thu Jan 03 18:00:46 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000019, referer: http://lab3.own/
[Thu Jan 03 18:00:52 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000020, referer: http://lab3.own/
[Thu Jan 03 18:00:52 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000021, referer: http://lab3.own/
